datetime,home_team,away_team,home_goal,away_goal,season,round,saldo_casa,saldo_casa_contra,saldo_visitante,saldo_visitante_contra,result
2012-07-25T19:30:00Z,Ponte Preta-SP,Sport-PE,1,1,2012,12,15,15,13,19,1
2012-07-25T20:30:00Z,Vasco da Gama-RJ,Botafogo-RJ,1,0,2012,12,20,11,21,17,3
2012-07-25T20:30:00Z,Nautico-PE,Coritiba-PR,3,4,2012,12,16,24,21,26,0
2012-07-25T21:50:00Z,Corinthians-SP,Cruzeiro-MG,2,0,2012,12,13,13,15,13,3
2012-07-25T21:50:00Z,Gremio-RS,Fluminense-RJ,1,0,2012,12,17,10,22,8,3
2012-07-25T21:50:00Z,Atletico-GO,Sao Paulo-SP,4,3,2012,12,12,25,17,15,3
2012-07-26T21:00:00Z,Atletico-MG,Santos-SP,2,0,2012,12,25,8,7,11,3
2012-07-26T21:00:00Z,Flamengo-RJ,Portuguesa-SP,0,0,2012,12,15,17,7,15,1
2012-07-26T21:00:00Z,Palmeiras-SP,Bahia-BA,0,2,2012,12,12,14,11,18,0
2012-07-28T18:30:00Z,Coritiba-PR,Gremio-RS,2,1,2012,13,23,27,18,12,3
2012-07-28T18:30:00Z,Internacional-RS,Vasco da Gama-RJ,0,0,2012,13,18,11,20,11,1
2012-07-28T21:00:00Z,Botafogo-RJ,Figueirense-SC,1,0,2012,13,22,17,13,21,3
2012-07-29T16:00:00Z,Sport-PE,Atletico-GO,0,0,2012,13,13,19,12,25,1
2012-07-29T16:00:00Z,Sao Paulo-SP,Flamengo-RJ,4,1,2012,13,21,16,16,21,3
2012-07-29T16:00:00Z,Fluminense-RJ,Atletico-MG,0,0,2012,13,22,8,25,8,1
2012-07-29T16:00:00Z,Bahia-BA,Corinthians-SP,0,0,2012,13,11,18,13,13,1
2012-07-29T18:30:00Z,Cruzeiro-MG,Palmeiras-SP,2,1,2012,13,17,14,13,16,3
2012-07-29T18:30:00Z,Portuguesa-SP,Nautico-PE,3,1,2012,13,10,16,17,27,3
2012-07-29T18:30:00Z,Santos-SP,Ponte Preta-SP,2,1,2012,13,9,12,16,17,3
2012-08-04T18:30:00Z,Palmeiras-SP,Internacional-RS,0,1,2012,14,13,17,19,11,0
