home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,result
Gremio-RS,RS,Cruzeiro-MG,MG,2,1,2012,28,3
Atletico-MG,MG,Figueirense-SC,SC,6,0,2012,28,3
Botafogo-RJ,RJ,Santos-SP,SP,0,2,2012,29,0
Cruzeiro-MG,MG,Portuguesa-SP,SP,2,0,2012,29,3
Ponte Preta-SP,SP,Nautico-PE,PE,2,1,2012,29,3
Figueirense-SC,SC,Atletico-GO,GO,3,1,2012,29,3
Bahia-BA,BA,Fluminense-RJ,RJ,0,2,2012,29,0
Internacional-RS,RS,Atletico-MG,MG,3,0,2012,29,3
Vasco da Gama-RJ,RJ,Sao Paulo-SP,SP,0,2,2012,29,0
Corinthians-SP,SP,Flamengo-RJ,RJ,3,2,2012,29,3
Palmeiras-SP,SP,Coritiba-PR,PR,0,1,2012,29,0
Sport-PE,PE,Gremio-RS,RS,1,3,2012,29,0
Atletico-GO,GO,Internacional-RS,RS,3,1,2012,30,3
Flamengo-RJ,RJ,Cruzeiro-MG,MG,1,1,2012,30,1
Portuguesa-SP,SP,Corinthians-SP,SP,1,1,2012,30,1
Santos-SP,SP,Vasco da Gama-RJ,RJ,2,0,2012,30,3
Sao Paulo-SP,SP,Figueirense-SC,SC,2,0,2012,30,3
Atletico-MG,MG,Sport-PE,PE,2,1,2012,30,3
Coritiba-PR,PR,Bahia-BA,BA,2,1,2012,30,3
Nautico-PE,PE,Palmeiras-SP,SP,1,0,2012,30,3
Fluminense-RJ,RJ,Ponte Preta-SP,SP,2,1,2012,30,3
Gremio-RS,RS,Botafogo-RJ,RJ,1,1,2012,30,1
Bahia-BA,BA,Palmeiras-SP,SP,0,1,2012,31,0
Fluminense-RJ,RJ,Gremio-RS,RS,2,2,2012,31,1
Coritiba-PR,PR,Nautico-PE,PE,2,1,2012,31,3
Internacional-RS,RS,Figueirense-SC,SC,2,3,2012,31,0
Santos-SP,SP,Atletico-MG,MG,2,2,2012,31,1
Cruzeiro-MG,MG,Corinthians-SP,SP,2,0,2012,31,3
Portuguesa-SP,SP,Flamengo-RJ,RJ,0,0,2012,31,1
Botafogo-RJ,RJ,Vasco da Gama-RJ,RJ,3,2,2012,31,3
Sao Paulo-SP,SP,Atletico-GO,GO,2,0,2012,31,3
Sport-PE,PE,Ponte Preta-SP,SP,3,1,2012,31,3
Gremio-RS,RS,Coritiba-PR,PR,0,0,2012,32,1
Corinthians-SP,SP,Bahia-BA,BA,1,1,2012,32,1
Palmeiras-SP,SP,Cruzeiro-MG,MG,2,0,2012,32,3
Flamengo-RJ,RJ,Sao Paulo-SP,SP,1,0,2012,32,3
Atletico-MG,MG,Fluminense-RJ,RJ,3,2,2012,32,3
Nautico-PE,PE,Portuguesa-SP,SP,0,0,2012,32,1
Ponte Preta-SP,SP,Santos-SP,SP,1,0,2012,32,3
Atletico-GO,GO,Sport-PE,PE,0,1,2012,32,0
Vasco da Gama-RJ,RJ,Internacional-RS,RS,1,2,2012,32,0
Figueirense-SC,SC,Botafogo-RJ,RJ,0,2,2012,32,0
